complaint_text,category,priority
fallen electric cable is creating immediate danger in Central Street. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Central Street. Residents need municipal assistance.,Electricity,Critical
sewage is flooding several homes in Market Area. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Central Street. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Block A. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Central Street. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in School Road. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Residential Area. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in School Road. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Block A. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Main Road. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Near Park. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Near Park. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Residential Area. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Main Road. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in School Road. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Residential Area. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in School Road. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Market Area. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Central Street. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Central Street. Residents need municipal assistance.,Drainage,Critical
sewage is flooding several homes in Market Area. Residents need municipal assistance.,Drainage,Critical
fire risk from damaged electrical equipment in School Road. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Central Street. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in School Road. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Near Park. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Main Road. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Residential Area. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Main Road. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Block A. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Block A. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Block A. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in School Road. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in School Road. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Residential Area. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Market Area. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Block A. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Residential Area. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Market Area. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Near Park. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Residential Area. Residents need municipal assistance.,Electricity,Critical
fire risk from damaged electrical equipment in Residential Area. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in School Road. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Central Street. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Block A. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Residential Area. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Block A. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Main Road. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Central Street. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Central Street. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Residential Area. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Residential Area. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Main Road. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Central Street. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Central Street. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Main Road. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in School Road. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Market Area. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Central Street. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Central Street. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Near Park. Residents need municipal assistance.,Electricity,Critical
dangerous exposed wire is accessible to children in Near Park. Residents need municipal assistance.,Electricity,Critical
major flooding is trapping residents in Central Street. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Residential Area. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in School Road. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Main Road. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Block A. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Main Road. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Market Area. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Block A. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Near Park. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Central Street. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Block A. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in School Road. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Market Area. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in School Road. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Central Street. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Central Street. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Central Street. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Market Area. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Block A. Residents need municipal assistance.,Drainage,Critical
major flooding is trapping residents in Central Street. Residents need municipal assistance.,Drainage,Critical
